transaction_id,amount,merchant,category,time_of_day,day_of_week,location_lat,location_long,user_age,user_account_age_days,transaction_count_last_30d,avg_transaction_amount,is_fraud
1,23050.055580210297,OnlineStore,online,23,5,57.8764040201435,59.094995419613554,75,4,0,14317.829932762532,1
2,590.8779772953862,BestBuy,electronics,9,5,-84.85723480967812,-29.020380652913047,32,618,68,1100.0923023775215,0
3,31758.90322992224,GasStation,travel,0,3,23.553186956120115,167.54785177270014,37,51,1,13622.99216974124,1
4,15672.240138066063,OnlineStore,groceries,23,1,-27.074664758809426,66.18349103233012,25,55,3,6593.074822519359,1
5,13863.152429111604,Target,fuel,23,6,-37.31913976330365,105.13605277762605,66,39,3,9838.613502906202,1
6,32211.842377425663,GasStation,fuel,0,0,-19.334204934999974,-74.61304251006243,48,36,4,7184.231286630596,1
7,39999.111698222645,GasStation,clothing,0,1,-28.4359204353633,-151.4928927208947,29,34,0,11029.476306906043,1
8,40823.23720517165,OnlineStore,electronics,22,2,59.803039207519475,-4.383778542522833,38,27,3,10585.73421708266,1
9,19581.810986533812,Amazon,groceries,0,1,-40.5363940617779,-66.75064324335818,47,7,3,8800.073642407518,1
10,16578.363874311035,Target,electronics,23,0,41.967544159185366,-107.25006059714748,79,3,4,13633.035148451243,1
11,8703.76478868006,OnlineStore,groceries,22,6,-73.06923235885404,162.95116708831011,44,47,2,11598.1332028806,1
12,36526.36435044911,Target,clothing,23,6,81.2513470471948,-20.164242836869107,61,33,4,12212.051249619437,1
13,11215.866854208638,Target,clothing,22,0,22.016994704739318,-117.10490686243716,43,2,1,6506.597382076685,1
14,25671.970474168884,GasStation,fuel,23,2,37.209343868020824,-108.48576503478992,50,42,1,13831.656779756177,1
15,790.1465531540025,BestBuy,electronics,12,0,-36.35292022299882,-78.94449271274615,43,787,71,1776.3332669788251,0
16,47358.575686626435,Target,dining,23,2,-15.822617632539362,179.7538565482966,43,25,3,7227.849642099602,1
17,21095.689752142283,HotelChain,fuel,22,2,-49.719890471224275,-83.51585981294497,53,15,4,6280.551384968804,1
18,18490.43082275383,GasStation,electronics,23,0,77.85649544440031,-61.63135035175668,57,24,4,9403.592079688155,1
19,2560.2498877251983,Amazon,fuel,13,4,-2.1411995217520143,57.358126074240516,18,891,94,1091.7844246995094,0
20,356.3110158880149,BestBuy,dining,16,6,23.480660818438196,-74.17390449229262,76,404,71,637.463625814057,0
21,21948.61089894123,HotelChain,travel,0,2,42.16896549552877,-102.31046961851038,32,14,4,8737.534204229532,1
22,46980.27709141104,HotelChain,travel,0,0,-23.200903602082988,-122.89061280614447,67,54,2,13460.66420075422,1
23,43484.217754564575,Amazon,travel,23,4,39.61829781704543,-67.43424058999481,18,14,0,11178.152797588893,1
24,17407.26692633341,BestBuy,travel,23,6,31.678648156141236,-141.87035173364154,28,6,4,12516.16393646277,1
25,18043.98690824997,GasStation,online,23,2,37.01868009731038,-173.28722889067816,72,14,3,7140.000494361148,1
26,29516.614569257385,Walmart,groceries,22,6,-1.9386179631696763,109.67101104048379,19,17,4,12164.898633325754,1
27,40490.02827269025,BestBuy,online,23,4,-21.071271187508927,-130.35782073075245,18,18,3,7276.105786417725,1
28,9849.695934315505,Amazon,online,23,6,-50.02520612238183,99.3516659334872,48,20,3,14873.13982210661,1
29,37120.076456857685,HotelChain,online,22,3,58.432743504160726,107.11529243519749,61,51,1,10598.861561267373,1
30,35225.90769004807,GasStation,travel,0,5,19.503008375702166,13.651029478527533,33,17,1,11956.39258043137,1
31,1356.344626656262,BestBuy,dining,8,3,-10.016604702450906,-68.51449500733749,71,1346,22,971.5957568365719,0
32,36616.82655613665,Walmart,clothing,23,4,79.91926320791006,-127.78821585004016,39,40,4,7506.5598004156955,1
33,47487.69403258747,Walmart,clothing,0,2,-81.38901374873302,85.2498384195597,59,39,2,6397.406595643543,1
34,9965.005488814279,Target,groceries,0,0,63.03095013690856,36.49931495344296,35,52,0,8901.70715271723,1
35,2092.718592410698,Target,travel,13,1,89.56486673027504,55.96324433768308,64,1937,13,808.862902237594,0
36,2772.9782366485924,OnlineStore,travel,21,0,69.64957995891612,-176.87912765575282,34,1809,27,1523.9530507080574,0
37,45768.93507483696,Amazon,travel,23,6,55.87858541081255,153.90612565481683,47,9,1,6087.089796281512,1
38,1689.9727315304601,BestBuy,fuel,17,1,-22.62492118686157,-156.1355325192419,27,2683,6,1737.0798583793544,0
39,26652.840352845957,BestBuy,electronics,0,1,-48.36344719278717,-47.949881349597945,52,46,0,5457.048246385875,1
40,2779.661747994376,OnlineStore,fuel,12,6,42.2730936899282,-35.02380612538792,75,1395,42,1183.5213022360144,0
41,30329.762998108286,HotelChain,electronics,0,6,-35.17643406805769,-179.51201118073843,79,33,1,12919.649919646028,1
42,30586.883259137812,HotelChain,travel,22,2,-58.31285721210528,-1.0478486337130448,38,10,1,12427.766411078948,1
43,19680.17963278697,OnlineStore,travel,0,4,51.57465967864644,91.01123802396359,33,17,1,9763.261139188635,1
44,17112.162326282938,HotelChain,fuel,22,0,-33.74214259739,116.376715121318,23,49,3,5499.827150775518,1
45,733.0962042919058,Target,fuel,19,4,74.59951130772092,136.58291759011837,20,160,97,1013.835004741943,0
46,1283.7325832106,BestBuy,electronics,18,3,61.31387606744255,-4.421207406466976,58,3147,79,1877.027861813713,0
47,9224.517812927737,OnlineStore,clothing,0,2,62.57525931166592,47.02902859067416,60,17,2,8165.281501979698,1
48,46104.45566296904,BestBuy,electronics,0,2,48.8825506900487,-151.37290321326046,38,18,4,11404.106368265342,1
49,14563.915801090601,Walmart,fuel,0,3,68.5586562794526,-4.306239258570031,30,52,1,9366.145622017262,1
50,17243.724428598238,Target,dining,23,0,55.03444059206163,-124.2663282461753,35,23,2,5924.211004531787,1
51,29767.599410801147,GasStation,fuel,0,5,18.452045443451155,-46.928477655892266,75,34,0,14159.504705123443,1
52,37824.82018616573,Target,dining,23,3,-36.75191065526463,-61.45008736874425,71,8,0,12784.93099453379,1
53,12020.620299264687,OnlineStore,groceries,0,0,69.87765477854683,-27.52539219305706,77,13,4,5563.781912905524,1
54,2140.870200769768,GasStation,fuel,12,1,61.30865209917454,25.789182470687734,41,753,71,1816.444757304445,0
55,48684.333434123,Walmart,groceries,23,6,-4.881722002101881,145.03559294267853,44,57,4,5833.775628986283,1
56,19018.404604799718,OnlineStore,clothing,22,2,-82.96583651964806,-37.985532714898085,71,54,2,13372.89859058485,1
57,21148.106092652168,Amazon,electronics,0,0,24.937870932344424,173.20723045615824,21,20,2,11130.139610519718,1
58,1140.8913005776008,BestBuy,dining,7,4,-80.89256633821529,93.25009729843305,39,3551,5,1730.9363460707998,0
59,10109.006130999122,Walmart,electronics,22,6,76.73039313271329,4.133176843817978,41,47,2,5207.413428062007,1
60,27513.753089976777,BestBuy,groceries,0,4,83.09362619255526,51.84951736029987,57,52,1,5315.8101214642065,1
61,23943.90410697015,HotelChain,dining,22,6,-55.89177373807124,-143.1992983925,62,23,2,10073.654720648297,1
62,21296.643916163346,Amazon,electronics,0,2,31.750088049883786,124.02775127291574,27,41,2,12343.734786767738,1
63,19999.38294988011,Amazon,fuel,22,3,-73.3915791787027,29.64868382302771,19,35,4,6208.404513339592,1
64,11837.712404137186,Walmart,travel,0,5,41.31304714316198,174.98429287545662,57,3,0,7212.840659149575,1
65,21222.68483276925,Amazon,groceries,0,3,-27.488220092518574,49.11434775102566,23,34,3,8272.599451695323,1
66,9808.20091405808,GasStation,electronics,0,0,32.58902011148015,120.28016997587702,65,33,2,7180.767820611531,1
67,1087.5781797617926,Amazon,groceries,17,3,-22.88222834360799,107.91458740628633,35,949,34,1854.5040929344177,0
68,24725.56734623649,BestBuy,online,22,2,-63.797848230017564,-55.633985471423216,34,17,2,10596.15005765076,1
69,26643.960957436288,BestBuy,groceries,23,0,-16.90020350953958,-86.54017491604381,55,45,4,11849.367482413092,1
70,45530.972630905526,OnlineStore,dining,22,1,-69.7187652057378,-25.022309964656387,62,19,4,14637.751822072285,1
71,35638.30932217127,BestBuy,online,22,3,13.838989495850242,-11.793116012818643,40,30,2,14308.436696831945,1
72,8338.482340369032,OnlineStore,dining,22,3,-82.62872421309365,-93.5695073028082,63,23,4,10701.269748289145,1
73,47613.34256437397,BestBuy,travel,23,5,4.917542327974743,142.05523440634988,47,15,4,12341.500564563547,1
74,17960.06757106387,GasStation,online,22,0,69.54635647719735,15.317230428232563,75,59,2,14508.72204625428,1
75,12519.795759914072,OnlineStore,fuel,23,4,60.817188621485286,172.23998117528504,38,57,0,5834.719445414048,1
76,744.1963715740283,Target,groceries,19,3,68.90070593276943,111.6064000966548,79,1078,82,1330.774666971584,0
77,29020.04726640216,HotelChain,electronics,22,2,75.9687843828793,20.053749741100546,27,2,0,5297.997637295833,1
78,26218.363772756737,Walmart,clothing,22,3,-71.18498018237504,160.9345001319693,73,39,4,10633.493623729639,1
79,18479.129346675152,BestBuy,groceries,0,5,-66.82550348237164,1.7549334343105443,60,49,0,12628.334253025343,1
80,30993.80257421738,Amazon,groceries,0,1,10.261225136363151,139.35834450672138,30,18,4,8670.749507450346,1
81,1748.8769712695862,BestBuy,travel,15,5,70.91508031639725,-51.06787876951003,29,834,85,1294.8244826626853,0
82,45866.48622205684,Amazon,fuel,0,3,85.38290217432552,-43.688741974526124,26,59,0,10163.66318548537,1
83,728.2561052930729,HotelChain,clothing,14,4,-81.67285487880001,-29.472954130464785,21,1440,78,926.4863094160853,0
84,45142.916319141645,HotelChain,online,23,6,-25.960664843881176,16.785232539568597,56,21,0,8215.882642240489,1
85,31495.027880548994,HotelChain,online,22,3,-51.67903416120118,19.25649727157665,41,40,4,5194.35155182302,1
86,252.0516709859075,Amazon,online,11,0,46.07385280762466,-1.2963881962496941,78,2927,22,685.1871937783437,0
87,2631.075342777516,BestBuy,dining,16,3,25.234896336665756,-69.83964951005971,71,778,71,1175.6961344924441,0
88,2189.32071542014,HotelChain,dining,18,4,-68.42015433290783,153.79432732469917,51,293,66,1368.9596603464472,0
89,21622.52392319234,GasStation,electronics,0,0,-2.9660278743051265,31.89099504573153,56,33,3,13019.463200450697,1
90,17823.671121832544,OnlineStore,clothing,22,2,33.379294026832454,-33.21388217102583,78,16,2,12268.186409522365,1
91,16857.221562593102,Amazon,online,23,0,50.220970906326784,54.42370586770255,58,39,3,12933.128463999017,1
92,2671.807499169355,Amazon,dining,8,5,-86.39051223887847,96.46803281152984,22,1065,50,1911.9364588692915,0
93,42457.92645087884,BestBuy,electronics,22,1,70.28452331710017,165.8621117621675,32,56,2,11698.333388162886,1
94,26504.088176516907,Amazon,fuel,23,5,12.470648931094402,-0.16230158367025638,67,43,4,11673.617974918081,1
95,1511.0045112401547,Amazon,electronics,11,6,56.14364069278284,-139.64453627372683,21,2629,79,1015.1379567088393,0
96,24054.59458305325,HotelChain,dining,22,0,55.42884540257103,-21.324311482845133,68,13,4,8633.472334648444,1
97,34012.42507375027,BestBuy,travel,23,2,-55.826521151225556,-7.570597876750298,69,56,1,12301.952661615549,1
98,27084.932488158018,HotelChain,travel,23,3,-70.16901835434604,142.91786814684258,75,2,3,7986.460135867415,1
99,40767.949276285784,OnlineStore,online,23,0,39.8317084152888,-37.871723353336876,56,14,2,10429.021314776193,1
100,49900.15853455819,OnlineStore,travel,23,5,-61.84315461210856,163.19673535936982,75,56,4,9333.556202178814,1
101,657.5717650254502,HotelChain,online,19,0,62.988748452850274,-5.352513222839491,25,1622,30,600.1771510073346,0
102,27305.334425702044,OnlineStore,online,23,0,40.71410709517892,170.5609803524144,66,41,2,14746.899204524632,1
103,270.45677548968774,BestBuy,dining,14,0,61.52856558574726,-177.0486043928536,62,1285,73,1002.2915095483407,0
104,20788.686375455934,Walmart,travel,22,2,-36.177717670317705,143.57353493028478,41,7,2,8092.9306372303,1
105,16320.011702252163,HotelChain,online,23,4,-33.012349126097575,155.20336269960626,70,18,1,6615.875017580683,1
106,10759.068892565687,GasStation,clothing,22,4,30.81988014233717,165.9675368754768,45,56,1,13229.806253142906,1
107,45259.01132339533,GasStation,fuel,0,0,-84.33972808938944,-175.29244769713864,72,41,2,10865.894005544895,1
108,25633.645302825338,Amazon,electronics,23,2,40.76941434073609,-118.18769884188876,60,55,3,11130.392564723858,1
109,28869.611777002054,OnlineStore,electronics,22,2,60.44095275382821,55.35522111356502,44,36,4,13205.614117990977,1
110,2752.48956955634,GasStation,dining,7,6,-15.270554411261273,-170.82983097536143,18,2347,16,518.5161174437453,0
111,40604.200055669804,Amazon,travel,23,0,47.67818941592435,-157.10076137645973,51,36,1,6936.334253802138,1
112,13481.053092921737,Walmart,travel,23,5,-58.57003494319285,-100.41160547036091,34,44,3,6984.053639939039,1
113,1298.2662433929895,BestBuy,online,16,5,-31.99312911249276,4.478316747798317,54,3091,11,259.3402505598943,0
114,943.4537325213,BestBuy,groceries,6,1,85.37489335988593,16.52492133605071,79,1164,10,1409.5783385767495,0
115,41482.865048308035,BestBuy,online,23,0,87.53907124082272,-167.66599579433844,79,30,3,7063.388785820889,1
116,38417.76699970187,GasStation,fuel,23,1,2.26890954388584,-118.66778971864879,55,24,2,6450.653946404235,1
117,36997.04032026502,Walmart,clothing,0,5,78.16856246349784,-0.10595759952408912,43,20,4,6206.873051619728,1
118,22302.883090155672,GasStation,electronics,0,5,4.09152205023382,33.81862353962589,74,46,4,11277.986477030378,1
119,41808.47667676869,OnlineStore,online,23,0,-37.51413693099168,-126.57538926496247,41,56,1,5001.1864491085,1
120,10200.43441498417,GasStation,groceries,23,1,-41.95812814222107,-36.41709169909058,56,31,4,5183.193426035437,1
121,14704.245860151022,Walmart,groceries,0,1,77.31102696626678,145.58451714610283,77,24,2,8895.531356260952,1
122,22096.177465072295,Walmart,online,0,0,-58.959649984705365,179.60374333662196,38,7,1,11913.498642761624,1
123,11225.912524909814,OnlineStore,dining,0,6,14.333842476327277,175.39720373921085,47,26,4,11950.39376497404,1
124,17869.75965645705,Walmart,electronics,23,1,9.994512251289535,137.40282370327407,64,13,0,9301.182736076906,1
125,42866.34128591256,Walmart,dining,22,6,43.13190323753909,-37.92236833801951,68,54,0,11910.736066045696,1
126,47826.56458718333,BestBuy,clothing,22,3,-0.13627664554054775,67.1667451469223,65,8,0,10210.961795801253,1
127,20793.298942515998,OnlineStore,groceries,22,5,-40.988581072535844,-30.026797997688476,74,55,0,14769.314167973153,1
128,19109.663767531205,Target,groceries,22,4,-59.50863006631586,53.469729656713014,30,5,0,6624.602138368331,1
129,19755.49139434993,Target,fuel,23,6,21.747384631060527,-68.60431045098603,54,44,1,11006.672677056056,1
130,19664.20166873544,Walmart,clothing,22,6,39.418336233581954,38.232811299719515,20,13,3,9912.387759510037,1
131,9509.067651810867,Target,groceries,0,6,12.51383016276587,8.553058759025959,49,29,3,6944.663446576944,1
132,1446.0798337861538,Target,clothing,10,2,42.903229881815065,-171.187104307248,52,3596,54,438.9443984741108,0
133,16975.321945953794,Walmart,electronics,22,1,-64.52618355900718,104.65304534860093,36,14,1,7755.080199319953,1
134,665.1869333656946,Target,travel,10,1,68.84463508976438,-175.71678039174398,31,2169,6,1503.889459534573,0
135,8406.849075120645,GasStation,groceries,23,2,14.831191513530555,-74.46386078881136,65,50,3,8748.3056958753,1
136,44034.1138184324,Amazon,fuel,22,1,-67.16809315933251,-177.86733643655916,39,27,0,7442.044731879489,1
137,38708.60846710652,OnlineStore,electronics,22,2,-6.853463242967692,-44.56749121372866,34,56,1,9307.053316984053,1
138,47763.75347729553,Amazon,online,23,6,62.06251281586407,-157.26220986090985,76,25,0,9733.458809276184,1
139,40827.85012624876,Walmart,clothing,0,0,71.56119482156882,148.86394805924687,21,52,3,12442.216728093075,1
140,21175.67350618674,BestBuy,online,23,3,-42.36308910022293,-30.355453741367313,62,4,4,12650.685743770371,1
141,18410.681066593796,OnlineStore,dining,23,6,38.02784844788155,-14.581521048812363,57,21,4,6585.559682916621,1
142,37304.0849172383,Walmart,electronics,0,3,-72.0026554529202,-54.05391500729225,36,18,1,10927.722993275322,1
143,1843.3242141980236,BestBuy,online,9,5,-83.9617431458116,45.90221551263585,54,1911,13,638.8647305171808,0
144,2418.7506341230123,Amazon,groceries,9,6,10.871811687589698,102.38692198255336,19,1957,10,892.4995036328925,0
145,8262.81378311175,Walmart,clothing,0,4,35.068964279062655,53.33282749763205,32,53,1,9729.140445341385,1
146,10599.19947057996,OnlineStore,travel,23,1,53.24161161177037,89.35456262224591,19,38,2,12503.531224083428,1
147,30485.45352962935,OnlineStore,electronics,0,4,-28.76107707803976,146.1505188633338,28,48,0,11114.913343823433,1
148,1858.689488276816,HotelChain,groceries,18,0,-88.82542612280034,130.87675140171433,62,674,57,955.8404900832894,0
149,2045.2103959449537,GasStation,fuel,11,3,-3.686537319956315,62.661042991330476,40,304,23,877.103437782083,0
150,13542.543424206393,Target,dining,22,6,-87.14636183275795,-102.7303333544057,27,8,2,10072.39498216864,1
151,29553.68951778471,BestBuy,clothing,0,0,-73.44278807925602,49.57302637509437,20,28,0,14958.456017162729,1
152,16166.801066130922,HotelChain,electronics,0,0,-31.195975944285294,2.1899144665839287,22,21,1,6786.079093236528,1
153,11914.237021633176,Target,electronics,23,1,-11.309031079168108,78.1989231637512,20,16,0,14824.237671601124,1
154,25240.82335054329,Target,travel,0,0,-39.69550057866326,119.85539342144938,55,54,1,8761.497842294439,1
155,1080.3039716529663,Walmart,travel,12,6,14.735747970847413,87.37973898711027,30,1495,40,1904.1412490348828,0
